country,country_name,aggregation,data_month,year,month,gas,emissionsQuantity,sector,subsector
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,cropland-fires
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,crop-residues
VNM,Vietnam,subsectors,2021-01,2021,1,co2,293796.1945350281,transportation,domestic-aviation
VNM,Vietnam,subsectors,2021-01,2021,1,co2,238476.18989028613,transportation,domestic-shipping
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,waste,domestic-wastewater-treatment-and-discharge
VNM,Vietnam,subsectors,2021-01,2021,1,co2,9424662.0,power,electricity-generation
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,enteric-fermentation-cattle-operation
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,enteric-fermentation-cattle-pasture
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,enteric-fermentation-other
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,fluorinated-gases,fluorinated-gases
VNM,Vietnam,subsectors,2021-01,2021,1,co2,23857.94778551699,manufacturing,food-beverage-tobacco
VNM,Vietnam,subsectors,2021-01,2021,1,co2,6201960.792962771,forestry-and-land-use,forest-land-clearing
VNM,Vietnam,subsectors,2021-01,2021,1,co2,192792.31874629247,forestry-and-land-use,forest-land-degradation
VNM,Vietnam,subsectors,2021-01,2021,1,co2,242327.7730170334,forestry-and-land-use,forest-land-fires
VNM,Vietnam,subsectors,2021-01,2021,1,co2,474.1671143502498,manufacturing,glass
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,power,heat-plants
VNM,Vietnam,subsectors,2021-01,2021,1,co2,4108.7681207841615,waste,incineration-and-open-burning-of-waste
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,waste,industrial-wastewater-treatment-and-discharge
VNM,Vietnam,subsectors,2021-01,2021,1,co2,117626.9532377561,transportation,international-aviation
VNM,Vietnam,subsectors,2021-01,2021,1,co2,605787.0030369338,transportation,international-shipping
VNM,Vietnam,subsectors,2021-01,2021,1,co2,2570833.691309879,manufacturing,iron-and-steel
VNM,Vietnam,subsectors,2021-01,2021,1,co2,9891.25449427448,mineral-extraction,iron-mining
VNM,Vietnam,subsectors,2021-01,2021,1,co2,37685.127583649664,manufacturing,lime
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,manure-applied-to-soils
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,manure-left-on-pasture-cattle
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,manure-management-cattle-operation
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,manure-management-other
VNM,Vietnam,subsectors,2021-01,2021,1,co2,2169943.7082675016,forestry-and-land-use,net-forest-land
VNM,Vietnam,subsectors,2021-01,2021,1,co2,12068.362613999785,forestry-and-land-use,net-shrubgrass
VNM,Vietnam,subsectors,2021-01,2021,1,co2,1120823.56156381,forestry-and-land-use,net-soil-organic-carbon
VNM,Vietnam,subsectors,2021-01,2021,1,co2,1133.183989080841,forestry-and-land-use,net-wetland
VNM,Vietnam,subsectors,2021-01,2021,1,co2,58996.192,buildings,non-residential-onsite-fuel-usage
VNM,Vietnam,subsectors,2021-01,2021,1,co2,684416.5164291929,fossil-fuel-operations,oil-and-gas-production
VNM,Vietnam,subsectors,2021-01,2021,1,co2,319295.2307657391,fossil-fuel-operations,oil-and-gas-refining
VNM,Vietnam,subsectors,2021-01,2021,1,co2,209117.2914900883,fossil-fuel-operations,oil-and-gas-transport
VNM,Vietnam,subsectors,2021-01,2021,1,co2,476472.6269453571,agriculture,other-agricultural-soil-emissions
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,manufacturing,other-chemicals
VNM,Vietnam,subsectors,2021-01,2021,1,co2,1455865.9568077575,power,other-energy-use
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,fossil-fuel-operations,other-fossil-fuel-operations
VNM,Vietnam,subsectors,2021-01,2021,1,co2,216915.93949547593,manufacturing,other-manufacturing
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,manufacturing,other-metals
VNM,Vietnam,subsectors,2021-01,2021,1,co2,23662.506996233402,mineral-extraction,other-mining-quarrying
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,buildings,other-onsite-fuel-usage
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,transportation,other-transport
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,manufacturing,petrochemical-steam-cracking
VNM,Vietnam,subsectors,2021-01,2021,1,co2,22698.794521360884,manufacturing,pulp-and-paper
VNM,Vietnam,subsectors,2021-01,2021,1,co2,6185.824104298442,transportation,railways
VNM,Vietnam,subsectors,2021-01,2021,1,co2,-4454568.543970931,forestry-and-land-use,removals
VNM,Vietnam,subsectors,2021-01,2021,1,co2,1388760.15363,buildings,residential-onsite-fuel-usage
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,rice-cultivation
VNM,Vietnam,subsectors,2021-01,2021,1,co2,1407992.4276676374,transportation,road-transportation
VNM,Vietnam,subsectors,2021-01,2021,1,co2,30.23831124459612,mineral-extraction,rock-quarrying
VNM,Vietnam,subsectors,2021-01,2021,1,co2,6.893232046640453,mineral-extraction,sand-quarrying
VNM,Vietnam,subsectors,2021-01,2021,1,co2,235.99195887500005,forestry-and-land-use,shrubgrass-fires
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,fossil-fuel-operations,other-solid-fuels
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,waste,solid-waste-disposal
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,agriculture,synthetic-fertilizer-application
VNM,Vietnam,subsectors,2021-01,2021,1,co2,190798.34015188503,manufacturing,textiles-leather-apparel
VNM,Vietnam,subsectors,2021-01,2021,1,co2,17641.932660169994,forestry-and-land-use,water-reservoirs
VNM,Vietnam,subsectors,2021-01,2021,1,co2,166.63865413333332,forestry-and-land-use,wetland-fires
VNM,Vietnam,subsectors,2021-01,2021,1,co2,4781.682541004084,manufacturing,wood-and-wood-products
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,transportation,non-broadcasting-vessels
VNM,Vietnam,subsectors,2021-02,2021,2,co2,158197.89630024403,manufacturing,aluminum
VNM,Vietnam,subsectors,2021-02,2021,2,co2,4961.781828934953,mineral-extraction,bauxite-mining
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,waste,biological-treatment-of-solid-waste-and-biogenic
VNM,Vietnam,subsectors,2021-02,2021,2,co2,5484449.075874715,manufacturing,cement
VNM,Vietnam,subsectors,2021-02,2021,2,co2,377921.24432592175,manufacturing,chemicals
VNM,Vietnam,subsectors,2021-02,2021,2,co2,147155.77581991843,fossil-fuel-operations,coal-mining
VNM,Vietnam,subsectors,2021-02,2021,2,co2,28521.737528884165,mineral-extraction,copper-mining
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,cropland-fires
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,crop-residues
VNM,Vietnam,subsectors,2021-02,2021,2,co2,309700.74736048654,transportation,domestic-aviation
VNM,Vietnam,subsectors,2021-02,2021,2,co2,185665.02601097588,transportation,domestic-shipping
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,waste,domestic-wastewater-treatment-and-discharge
VNM,Vietnam,subsectors,2021-02,2021,2,co2,8911523.0,power,electricity-generation
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,enteric-fermentation-cattle-operation
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,enteric-fermentation-cattle-pasture
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,enteric-fermentation-other
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,fluorinated-gases,fluorinated-gases
VNM,Vietnam,subsectors,2021-02,2021,2,co2,23721.969555896583,manufacturing,food-beverage-tobacco
VNM,Vietnam,subsectors,2021-02,2021,2,co2,6201960.792962773,forestry-and-land-use,forest-land-clearing
VNM,Vietnam,subsectors,2021-02,2021,2,co2,192792.3187462928,forestry-and-land-use,forest-land-degradation
VNM,Vietnam,subsectors,2021-02,2021,2,co2,242327.77301703338,forestry-and-land-use,forest-land-fires
VNM,Vietnam,subsectors,2021-02,2021,2,co2,476.0738634226221,manufacturing,glass
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,power,heat-plants
VNM,Vietnam,subsectors,2021-02,2021,2,co2,4108.7681207841615,waste,incineration-and-open-burning-of-waste
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,waste,industrial-wastewater-treatment-and-discharge
VNM,Vietnam,subsectors,2021-02,2021,2,co2,91612.39493294242,transportation,international-aviation
VNM,Vietnam,subsectors,2021-02,2021,2,co2,462673.9437563247,transportation,international-shipping
VNM,Vietnam,subsectors,2021-02,2021,2,co2,2241042.3108630423,manufacturing,iron-and-steel
VNM,Vietnam,subsectors,2021-02,2021,2,co2,9891.25449427448,mineral-extraction,iron-mining
VNM,Vietnam,subsectors,2021-02,2021,2,co2,37040.66885949109,manufacturing,lime
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,manure-applied-to-soils
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,manure-left-on-pasture-cattle
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,manure-management-cattle-operation
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,manure-management-other
VNM,Vietnam,subsectors,2021-02,2021,2,co2,2169943.708267502,forestry-and-land-use,net-forest-land
VNM,Vietnam,subsectors,2021-02,2021,2,co2,12068.362613999787,forestry-and-land-use,net-shrubgrass
VNM,Vietnam,subsectors,2021-02,2021,2,co2,1120823.56156381,forestry-and-land-use,net-soil-organic-carbon
VNM,Vietnam,subsectors,2021-02,2021,2,co2,1133.1839890808674,forestry-and-land-use,net-wetland
VNM,Vietnam,subsectors,2021-02,2021,2,co2,47785.851,buildings,non-residential-onsite-fuel-usage
VNM,Vietnam,subsectors,2021-02,2021,2,co2,684416.5164291929,fossil-fuel-operations,oil-and-gas-production
VNM,Vietnam,subsectors,2021-02,2021,2,co2,319295.2307657391,fossil-fuel-operations,oil-and-gas-refining
VNM,Vietnam,subsectors,2021-02,2021,2,co2,209117.2914900883,fossil-fuel-operations,oil-and-gas-transport
VNM,Vietnam,subsectors,2021-02,2021,2,co2,492590.3374119654,agriculture,other-agricultural-soil-emissions
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,manufacturing,other-chemicals
VNM,Vietnam,subsectors,2021-02,2021,2,co2,1404101.8507042406,power,other-energy-use
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,fossil-fuel-operations,other-fossil-fuel-operations
VNM,Vietnam,subsectors,2021-02,2021,2,co2,217503.1313543337,manufacturing,other-manufacturing
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,manufacturing,other-metals
VNM,Vietnam,subsectors,2021-02,2021,2,co2,24611.379462061283,mineral-extraction,other-mining-quarrying
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,buildings,other-onsite-fuel-usage
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,transportation,other-transport
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,manufacturing,petrochemical-steam-cracking
VNM,Vietnam,subsectors,2021-02,2021,2,co2,20502.13698575941,manufacturing,pulp-and-paper
VNM,Vietnam,subsectors,2021-02,2021,2,co2,6271.866513516071,transportation,railways
VNM,Vietnam,subsectors,2021-02,2021,2,co2,-4454568.54397093,forestry-and-land-use,removals
VNM,Vietnam,subsectors,2021-02,2021,2,co2,1073041.94976,buildings,residential-onsite-fuel-usage
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,rice-cultivation
VNM,Vietnam,subsectors,2021-02,2021,2,co2,1278003.056641662,transportation,road-transportation
VNM,Vietnam,subsectors,2021-02,2021,2,co2,31.45087511019574,mineral-extraction,rock-quarrying
VNM,Vietnam,subsectors,2021-02,2021,2,co2,7.16965238074371,mineral-extraction,sand-quarrying
VNM,Vietnam,subsectors,2021-02,2021,2,co2,235.99195887500005,forestry-and-land-use,shrubgrass-fires
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,fossil-fuel-operations,other-solid-fuels
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,waste,solid-waste-disposal
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,agriculture,synthetic-fertilizer-application
VNM,Vietnam,subsectors,2021-02,2021,2,co2,190982.12856271578,manufacturing,textiles-leather-apparel
VNM,Vietnam,subsectors,2021-02,2021,2,co2,18632.76708,forestry-and-land-use,water-reservoirs
VNM,Vietnam,subsectors,2021-02,2021,2,co2,166.63865413333332,forestry-and-land-use,wetland-fires
VNM,Vietnam,subsectors,2021-02,2021,2,co2,4781.682541004084,manufacturing,wood-and-wood-products
VNM,Vietnam,subsectors,2021-02,2021,2,co2,0.0,transportation,non-broadcasting-vessels
VNM,Vietnam,subsectors,2021-03,2021,3,co2,165996.38414603076,manufacturing,aluminum
VNM,Vietnam,subsectors,2021-03,2021,3,co2,4943.470890963745,mineral-extraction,bauxite-mining
VNM,Vietnam,subsectors,2021-03,2021,3,co2,0.0,waste,biological-treatment-of-solid-waste-and-biogenic
VNM,Vietnam,subsectors,2021-03,2021,3,co2,6072068.619718437,manufacturing,cement
VNM,Vietnam,subsectors,2021-03,2021,3,co2,418412.80621798476,manufacturing,chemicals
VNM,Vietnam,subsectors,2021-03,2021,3,co2,147155.77581991846,fossil-fuel-operations,coal-mining
VNM,Vietnam,subsectors,2021-03,2021,3,co2,28416.48103338957,mineral-extraction,copper-mining
VNM,Vietnam,subsectors,2021-03,2021,3,co2,0.0,agriculture,cropland-fires
VNM,Vietnam,subsectors,2021-03,2021,3,co2,0.0,agriculture,crop-residues
VNM,Vietnam,subsectors,2021-03,2021,3,co2,274545.7567030457,transportation,domestic-aviation
VNM,Vietnam,subsectors,2021-03,2021,3,co2,261569.85590314431,transportation,domestic-shipping
VNM,Vietnam,subsectors,2021-03,2021,3,co2,0.0,waste,domestic-wastewater-treatment-and-discharge
VNM,Vietnam,subsectors,2021-03,2021,3,co2,10434480.0,power,electricity-generation
VNM,Vietnam,subsectors,2021-03,2021,3,co2,0.0,agriculture,enteric-fermentation-cattle-operation
VNM,Vietnam,subsectors,2021-03,2021,3,co2,0.0,agriculture,enteric-fermentation-cattle-pasture
VNM,Vietnam,subsectors,2021-03,2021,3,co2,0.0,agriculture,enteric-fermentation-other
VNM,Vietnam,subsectors,2021-03,2021,3,co2,0.0,fluorinated-gases,fluorinated-gases
VNM,Vietnam,subsectors,2021-03,2021,3,co2,24095.7986107882,manufacturing,food-beverage-tobacco
VNM,Vietnam,subsectors,2021-03,2021,3,co2,6201960.792962776,forestry-and-land-use,forest-land-clearing
VNM,Vietnam,subsectors,2021-03,2021,3,co2,192792.31874629256,forestry-and-land-use,forest-land-degradation
VNM,Vietnam,subsectors,2021-03,2021,3,co2,242327.77301703338,forestry-and-land-use,forest-land-fires
VNM,Vietnam,subsectors,2021-03,2021,3,co2,480.45439254954647,manufacturing,glass
VNM,Vietnam,subsectors,2021-03,2021,3,co2,0.0,power,heat-plants
VNM,Vietnam,subsectors,2021-03,2021,3,co2,4108.7681207841615,waste,incineration-and-open-burning-of-waste
VNM,Vietnam,subsectors,2021-03,2021,3,co2,0.0,waste,industrial-wastewater-treatment-and-discharge
VNM,Vietnam,subsectors,2021-03,2021,3,co2,113989.69382270455,transportation,international-aviation
VNM,Vietnam,subsectors,2021-03,2021,3,co2,658447.6395813129,transportation,international-shipping
VNM,Vietnam,subsectors,2021-03,2021,3,co2,2700281.7025214457,manufacturing,iron-and-steel
