source_id,country,year,gas,latitude,longitude,sector,subsector,asset_type,source_type,annual_emissions_quantity
42547210,VNM,2026,co2,16.1298566265566,108.122944945328,manufacturing,cement,integrated dry,point-source,168724.7395942526
1934907,VNM,2026,co2,10.76197048167573,106.73555084712837,transportation,domestic-shipping,,point-source,168680.65240241122
33999164,VNM,2026,co2,21.2746288498535,106.19662235511,manufacturing,chemicals,ammonia,point-source,167808.64758515917
33999010,VNM,2026,co2,9.39384294471036,104.858335323385,manufacturing,chemicals,ammonia,point-source,167808.64758515917
3168692,VNM,2026,co2,10.169783,103.99353,transportation,international-aviation,international,point-source,164496.30399248254
5076329,VNM,2026,co2,15.606883525000086,107.60702398923485,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,162780.4277298339
8253143,VNM,2026,co2,19.35802841250012,105.50905118268355,forestry-and-land-use,forest-land-fires,,gadm-aggregation,157328.8333095222
38891224,VNM,2026,co2,20.8238,106.8263,transportation,international-shipping,,point-source,156991.20547877008
5075867,VNM,2026,co2,14.40987157750004,107.68786954588285,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,156856.6933578114
1934909,VNM,2026,co2,20.974611439027488,107.05214710632919,transportation,domestic-shipping,,point-source,155321.22203393924
5074053,VNM,2026,co2,12.295830726500126,108.82348320101619,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,152257.0756041621
3171198,VNM,2026,co2,16.0439,108.198997,transportation,domestic-aviation,domestic,point-source,151758.5748729962
1934924,VNM,2026,co2,10.540967761234143,107.02921310702963,transportation,domestic-shipping,,point-source,151691.49763703847
55296289,VNM,2026,co2,20.481459778486,105.883985965483,manufacturing,cement,integrated dry,point-source,149067.48837938823
32439403,VNM,2026,co2,21.2123791371879,104.13206019517,manufacturing,cement,integrated dry,point-source,148641.18312570223
5073780,VNM,2026,co2,14.34603261950008,108.90796161419283,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,148335.0001738866
25457264,VNM,2026,co2,9.9448,105.8745,power,electricity-generation,coal,point-source,146870.0
33999026,VNM,2026,co2,20.1895676813098,106.087750112043,manufacturing,chemicals,ammonia,point-source,143196.86835211373
5076354,VNM,2026,co2,21.25875854500015,107.16505356618285,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,140536.7499659097
5073787,VNM,2026,co2,13.677273750000095,108.95726638330808,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,140120.3313675069
5076362,VNM,2026,co2,21.10622406000013,107.05152628215455,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,137013.8151619377
2802643,VNM,2026,co2,20.798416,106.907639,transportation,international-shipping,,point-source,133503.2909388434
5076428,VNM,2026,co2,20.205648422500104,105.44560450255281,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,133286.225448516
8252678,VNM,2026,co2,13.764717102500128,108.59052824324766,forestry-and-land-use,forest-land-fires,,gadm-aggregation,132936.3424969041
2804905,VNM,2026,co2,19.325389,105.806181,transportation,international-shipping,,point-source,131493.5388386235
5076006,VNM,2026,co2,22.063378334000102,104.16957120350389,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,131154.7218618042
